[individuals]
496
[dimensions]
3
[landmarks]
119
[rawpoints]
'#1 Gca_F_B_SMF_4509
4.318135e+00 2.443620e+01 4.812853e+01
2.720255e+00 2.145416e+01 4.889193e+01
1.917820e+00 1.852156e+01 5.056090e+01
2.828938e+00 1.645137e+01 5.309575e+01
4.471909e+00 1.755880e+01 5.580167e+01
6.543240e+00 2.000770e+01 5.660820e+01
8.182348e+00 2.281750e+01 5.720461e+01
7.730921e+00 1.948913e+01 5.796354e+01
6.008924e+00 1.657906e+01 5.861459e+01
4.298101e+00 1.393067e+01 5.999896e+01
2.915141e+00 1.041119e+01 6.066511e+01
2.209980e+00 6.866023e+00 6.196019e+01
2.180068e+00 3.470628e+00 6.375282e+01
-9.863563e+00 1.963087e+01 5.324744e+01
-9.326788e+00 2.105467e+01 5.346017e+01
-8.515318e+00 2.232797e+01 5.374375e+01
-7.604507e+00 2.310390e+01 5.470757e+01
-7.055619e+00 2.328009e+01 5.561981e+01
-6.556024e+00 2.318972e+01 5.657210e+01
-6.086896e+00 2.303325e+01 5.758416e+01
-5.742344e+00 2.296368e+01 5.853538e+01
-5.405633e+00 2.286097e+01 5.953536e+01
-5.147378e+00 2.249952e+01 6.049789e+01
-4.928532e+00 2.153757e+01 6.164946e+01
-5.182902e+00 2.020048e+01 6.231792e+01
-5.624745e+00 1.878737e+01 6.264561e+01
-5.181237e+00 5.374868e+00 4.290397e+01
-4.342892e+00 3.695030e+00 4.325936e+01
-3.901178e+00 1.858638e+00 4.354835e+01
-3.789423e+00 4.689222e-01 4.485482e+01
-5.419359e+00 3.323008e-02 4.615271e+01
-7.429271e+00 5.308000e-01 4.664650e+01
-9.073022e+00 1.826494e+00 4.625887e+01
3.071969e+00 2.582416e+00 6.247796e+01
3.292487e+00 1.490627e+00 6.098501e+01
3.064261e+00 -8.884463e-02 6.002443e+01
2.173700e+00 -1.340090e+00 5.897062e+01
1.576029e-01 -1.693972e+00 5.878104e+01
-1.548468e+00 -1.343449e+00 5.987303e+01
-1.941857e+00 -9.376484e-01 6.184954e+01
-1.257668e+01 5.141808e-01 5.087284e+01
-1.212091e+01 -2.451903e+00 4.964621e+01
-1.084512e+01 -5.364257e+00 4.901258e+01
-9.111670e+00 -8.072714e+00 4.860145e+01
-8.416662e+00 -9.219378e+00 4.833852e+01
-7.256705e+00 -9.925790e+00 4.848835e+01
-6.067035e+00 -1.057327e+01 4.866850e+01
-7.992444e+00 -8.802463e-01 6.127119e+01
-8.069451e+00 -3.494130e+00 6.104976e+01
-7.014174e+00 -5.806218e+00 6.020739e+01
-5.965839e+00 -7.959455e+00 5.906023e+01
-5.169975e+00 -9.506745e+00 5.806184e+01
-4.197330e+00 -1.078243e+01 5.685709e+01
-3.075504e+00 -1.149541e+01 5.535460e+01
-6.197798e+00 6.898879e+00 4.289687e+01
-1.291808e+00 5.663900e+00 4.381727e+01
2.813391e+00 4.398980e+00 4.658447e+01
7.325177e+00 3.455831e+00 4.884631e+01
5.832835e+00 3.343763e+00 5.399642e+01
5.146999e+00 3.245560e+00 5.931099e+01
2.180068e+00 3.470628e+00 6.375282e+01

'#5 Gca_F_E_AMNH_M_53543
-1.383917e+01 2.027221e+00 6.173803e+01
-1.428481e+01 1.879475e+00 5.714807e+01
-1.116711e+01 -1.217856e+01 6.164864e+01
-1.120770e+01 -1.258319e+01 5.997224e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
-6.767880e+00 1.842261e+01 5.866082e+01
NA NA NA
NA NA NA
-5.543446e+00 1.350080e+01 5.999336e+01
NA NA NA
-5.620263e+00 1.264306e+01 5.557919e+01
NA NA NA
NA NA NA
-1.019281e+01 9.079137e+00 6.267081e+01
-1.136348e+01 9.028079e+00 6.134385e+01
-1.084527e+01 8.301100e+00 5.480217e+01
-1.200842e+01 8.426143e+00 5.602866e+01
-1.447354e+01 -4.876993e+00 6.230367e+01
-1.425990e+01 -1.572118e+00 6.101456e+01
-1.430963e+01 -1.637928e+00 6.031985e+01
-1.429460e+01 -1.760276e+00 5.990925e+01
-1.432171e+01 -1.779741e+00 5.943076e+01
-1.441651e+01 -1.734826e+00 5.899731e+01
-1.501917e+01 -5.911424e+00 5.862620e+01
-5.953019e+00 -6.754597e+00 6.348856e+01
-6.539993e+00 -7.775243e+00 5.614783e+01
-6.891982e+00 -8.806024e+00 6.324922e+01
-7.492533e+00 -9.904104e+00 5.736572e+01
-7.997560e+00 -1.108455e+01 7.106911e+01
-9.695171e+00 -1.343948e+01 5.029238e+01
-1.484692e+01 -2.097925e+01 6.666153e+01
-1.549441e+01 -2.279490e+01 5.781097e+01
-1.057019e+01 -1.869280e+01 6.862359e+01
-1.172444e+01 -2.013021e+01 5.472696e+01
-1.255032e+01 -2.216825e+01 6.227435e+01
-9.143809e+00 -2.525661e+01 6.224709e+01
-4.609079e+00 1.418192e+01 5.751851e+01
-2.069293e+00 8.308132e+00 5.829115e+01
1.792349e+00 3.147823e+00 5.819820e+01
5.583795e+00 -2.064560e+00 5.827375e+01
5.434068e+00 -7.144630e+00 5.884374e+01
5.480386e+00 -1.222082e+01 5.946236e+01
5.463542e+00 -1.729025e+01 6.013668e+01
2.934226e+00 -1.987592e+01 6.063396e+01
3.822433e-01 -2.243227e+01 6.116608e+01
-8.053418e-01 -2.582007e+01 6.183120e+01
-2.448143e+00 -5.810178e+00 7.204604e+01
-3.905203e-01 -8.040576e+00 6.996842e+01
1.895224e+00 -1.058395e+01 6.861507e+01
4.544509e+00 -1.307609e+01 6.807151e+01
6.999321e+00 -1.657119e+01 6.688719e+01
9.979050e+00 -1.984823e+01 6.672691e+01
1.237801e+01 -2.319609e+01 6.508910e+01
9.613574e+00 -2.084079e+01 6.430558e+01
7.024562e+00 -1.838645e+01 6.326788e+01
5.463542e+00 -1.729025e+01 6.013668e+01
5.986318e+00 -1.944088e+01 5.709459e+01
8.673145e+00 -2.176814e+01 5.595296e+01
1.166149e+01 -2.390064e+01 5.527366e+01
8.520187e+00 -2.135573e+01 5.337387e+01
5.416065e+00 -1.817764e+01 5.290739e+01
2.659135e+00 -1.499506e+01 5.141639e+01
-3.752562e-02 -1.272413e+01 5.076279e+01
-2.473291e+00 -1.052867e+01 4.931232e+01
-4.700604e+00 -8.704001e+00 4.717545e+01
-2.852673e+00 -2.294339e+01 6.755058e+01
-2.108178e+00 -2.383588e+01 6.709219e+01
-1.473850e+00 -2.461703e+01 6.635177e+01
-9.712647e-01 -2.527923e+01 6.541919e+01
-7.085606e-01 -2.564313e+01 6.428069e+01
-7.188026e-01 -2.573285e+01 6.306023e+01
-8.053418e-01 -2.582007e+01 6.183120e+01
-9.250261e-01 -2.610435e+01 6.049758e+01
-1.117428e+00 -2.637239e+01 5.915917e+01
-1.498550e+00 -2.642635e+01 5.783553e+01
-2.286841e+00 -2.621431e+01 5.650731e+01
-3.482559e+00 -2.547035e+01 5.583834e+01
-4.582612e+00 -2.443734e+01 5.544670e+01
-1.975178e+00 -4.202486e+00 7.126581e+01
-2.309283e+00 -2.695261e+00 6.997519e+01
-3.348454e+00 -1.121945e+00 6.927271e+01
-4.751252e+00 -1.695465e-01 6.818922e+01
-6.783837e+00 -6.868103e-01 6.764849e+01
-7.864564e+00 -1.999397e+00 6.899055e+01
-8.611989e+00 -3.389567e+00 7.047385e+01
-4.122572e+00 -7.084215e+00 4.759373e+01
-4.150618e+00 -5.230016e+00 4.871466e+01
-5.207271e+00 -3.395139e+00 4.917488e+01
-6.575212e+00 -2.059174e+00 5.019439e+01
-8.440198e+00 -2.477534e+00 5.083970e+01
-9.764902e+00 -3.883725e+00 5.025862e+01
-1.045132e+01 -5.573250e+00 4.939597e+01
-1.442083e+01 -5.225416e+00 6.726131e+01
-1.503416e+01 -2.375231e+00 6.731727e+01
-1.535875e+01 4.862861e-01 6.685883e+01
-1.476333e+01 3.191424e+00 6.594762e+01
-1.428283e+01 5.281304e+00 6.515216e+01
-1.358071e+01 7.222378e+00 6.416667e+01
-1.252273e+01 8.844838e+00 6.295024e+01
-1.508589e+01 -6.894570e+00 5.386652e+01
-1.595215e+01 -4.246067e+00 5.281913e+01
-1.617627e+01 -1.278088e+00 5.276599e+01
-1.595264e+01 1.671717e+00 5.309847e+01
-1.543606e+01 3.954996e+00 5.345749e+01
-1.461539e+01 6.133933e+00 5.389130e+01
-1.340551e+01 8.026773e+00 5.464145e+01
-2.448143e+00 -5.810178e+00 7.204604e+01
6.208388e-01 -3.958414e+00 6.787600e+01
2.939015e+00 -2.734186e+00 6.305926e+01
5.583795e+00 -2.064560e+00 5.827375e+01
2.246218e+00 -3.962389e+00 5.430962e+01
